1|1|0|1|1
2|2|2|2|2
3|3|3|3|3
4|4|4|4|4
5|5|5|5|5
6|6|5|6|5
7|7|6|7|7
8|8|7|8|8
9|9|8|9|9
10|10|9|10|10
11|11|10|11|11
12|12|11|12|12
13|13|12|13|13
14|14|12|14|8
15|15|14|15|9
16|16|15|16|10
17|17|16|17|11
18|18|17|18|12
19|19|18|19|13
20|20|5|20|14
21|21|6|3|15
22|22|7|4|16
23|23|8|5|17
24|24|10|6|18
25|25|11|7|19
26|26|12|8|20
27|27|13|9|21
28|28|14|10|22
29|5|6|11|23
30|6|6|12|24
31|7|8|13|25
32|8|9|14|26
33|9|10|15|27
34|10|11|16|28
35|11|12|17|29
36|12|5|18|30
37|13|6|3|31
38|14|7|4|32
39|15|9|5|33
40|16|10|6|34
41|17|11|7|35
42|18|12|8|36
43|19|13|9|37
44|20|5|10|38
45|21|6|3|39
46|22|7|4|40
47|23|9|5|41
48|24|10|6|42
49|25|11|7|43
50|26|12|8|44
51|27|13|9|45
52|28|5|10|46
5|29|6|11|47
6|30|7|12|48
7|31|9|13|49
8|32|10|14|50
9|33|11|15|51
10|34|12|16|52
11|35|13|17|53
12|36|5|18|54
13|37|6|19|54
14|38|7|20|56
15|39|8|21|57
16|40|9|22|58
17|41|10|23|59
18|42|11|24|60
19|43|12|25|61
20|44|13|26|62
21|45|14|27|7
22|46|15|28|8
23|47|17|29|9
24|48|18|30|10
25|49|19|31|11
26|50|20|32|12
27|51|21|33|13
28|52|5|34|14
29|53|6|3|15
30|54|7|4|16
31|55|8|5|17
32|56|10|6|18
33|57|11|7|19
34|58|12|8|20
35|59|13|9|21
36|60|14|10|22
37|61|6|11|23
38|62|7|12|24
39|63|8|13|25
40|64|9|14|27
41|65|10|15|28
42|66|11|16|29
43|67|12|17|30
44|68|13|18|31
45|69|14|19|32
46|70|15|20|33
47|71|16|21|7
48|72|16|22|8
49|73|18|23|9
50|74|19|24|10
51|75|20|25|11
52|76|21|26|12
53|77|22|27|13
54|78|5|28|14
5|79|6|29|15
6|80|7|30|16
7|81|9|31|17
8|82|10|32|18
9|83|11|33|19
10|84|12|34|20
11|85|13|35|21
12|86|5|36|22
13|87|6|37|23
14|88|7|38|25
15|89|8|39|26
16|90|9|40|27
17|91|10|41|28
18|92|11|42|29
19|93|12|43|30
20|94|13|44|31
21|95|14|45|7
22|96|15|46|8
23|97|16|47|9
24|98|18|48|10
25|99|19|49|11
26|100|20|50|12
27|101|21|51|13
28|102|22|52|14
29|5|6|53|15
30|5|7|54|16
31|5|8|55|17
32|6|8|56|18
33|7|10|57|19
34|8|11|58|20
35|9|12|59|21
36|10|13|60|22
37|11|14|61|23
38|12|5|62|24
39|5|6|63|25
40|6|7|64|26
41|7|9|65|27
42|8|10|66|28
43|9|11|67|29
44|10|12|68|30
45|11|13|69|31
46|12|5|70|32
5|13|6|71|33
6|14|7|72|34
7|15|9|73|35
8|16|10|74|36
9|17|11|75|37
10|18|12|76|38
11|19|13|77|39
12|20|5|78|40
13|21|6|3|41
14|22|7|4|42
15|23|9|5|43
16|24|10|6|44
17|25|11|7|45
18|26|12|8|46
19|27|13|9|47
20|28|5|10|48
21|5|6|11|49
22|6|7|12|50
23|7|8|13|51
24|8|10|14|52
25|9|11|15|53
26|10|12|16|54
27|11|13|17|55
28|12|14|18|56
29|5|6|19|57
30|6|6|20|58
31|7|8|21|59
32|8|9|22|60
33|9|10|23|61
34|10|11|24|62
35|11|12|25|63
36|12|5|26|64
37|13|6|27|65
38|14|7|28|67
39|15|8|29|68
40|16|9|30|69
41|17|10|31|70
42|18|11|32|71
43|19|12|33|72
44|20|13|34|73
45|21|14|35|7
46|22|15|36|8
47|23|17|37|9
48|24|18|38|10
49|25|19|39|11
50|26|20|40|12
51|27|21|41|13
52|28|5|42|14
53|29|6|43|15
54|30|7|44|17
55|31|8|45|18
56|32|9|46|19
57|33|10|47|20
58|34|11|48|21
59|35|12|49|22
60|36|13|50|23
61|37|14|51|7
62|38|15|52|8
63|39|16|53|9
64|40|18|54|10
65|41|19|55|11
66|42|20|56|12
67|43|21|57|13
68|44|22|58|14
69|45|5|59|15
70|46|6|3|16
71|47|7|4|17
