1|1|0|1|1
2|2|1|2|2
3|3|2|2|3
3|4|3|3|4
4|5|4|4|5
5|6|5|3|6
6|7|6|4|7
7|8|7|5|8
4|9|8|6|9
5|4|9|7|10
6|4|10|8|11
4|5|11|9|12
5|6|12|10|4
6|7|13|11|4
7|8|14|3|5
8|9|7|4|6
9|10|7|5|7
10|11|8|6|4
11|4|9|7|5
12|4|10|8|6
13|5|11|9|4
4|6|12|10|5
4|7|13|11|6
5|8|7|12|7
6|4|8|13|8
7|4|9|14|9
8|5|10|15|4
9|4|11|16|5
10|4|12|17|6
11|5|13|18|4
4|6|14|19|5
4|7|15|20|6
5|8|16|3|7
4|9|17|4|8
4|10|18|5|9
5|11|7|6|10
4|12|8|7|11
4|13|9|8|12
5|14|10|9|4
6|15|11|3|5
7|16|12|3|6
8|17|7|4|7
9|18|8|3|8
10|19|9|3|9
11|4|10|4|10
12|5|7|5|11
13|6|7|6|12
4|7|8|7|13
5|4|9|8|14
6|4|10|9|15
7|5|11|10|4
8|4|12|11|5
9|4|13|12|6
4|5|14|13|7
5|6|15|14|4
6|7|16|15|4
7|4|17|16|5
8|5|18|3|6
9|6|19|3|7
10|7|20|4|4
11|8|7|5|5
12|9|7|6|6
13|4|8|7|7
4|5|9|8|8
4|6|10|9|9
5|4|11|10|10
6|5|7|11|11
7|6|7|12|12
4|7|8|13|13
5|4|9|14|14
6|4|10|15|15
7|5|11|16|4
8|6|12|3|5
9|7|13|3|6
10|4|14|4|7
11|5|15|3|8
12|6|16|3|9
13|4|17|4|10
14|5|18|3|11
15|6|19|3|12
16|7|7|4|13
17|4|8|5|14
18|4|9|6|15
19|5|7|7|16
20|6|8|8|4
21|7|9|9|4
22|8|10|3|5
23|4|11|4|6
24|4|12|5|7
4|5|13|6|8
5|6|7|7|9
6|7|7|8|10
4|8|8|9|11
5|4|9|10|12
6|4|10|11|13
7|5|11|12|4
8|6|7|13|5
9|7|7|14|6
10|8|8|3|7
4|9|9|4|8
4|10|10|5|9
5|4|11|6|10
6|5|12|3|11
7|6|13|3|12
8|4|14|4|13
9|5|15|5|4
10|6|16|6|4
4|7|17|7|5
5|8|18|8|4
6|9|19|9|4
7|4|20|10|5
8|5|21|11|4
9|6|22|12|4
4|7|23|13|5
5|4|24|14|6
6|4|25|15|7
4|5|26|16|8
5|6|7|17|9
6|7|7|18|10
7|4|8|19|11
8|5|7|20|12
9|6|7|21|13
10|7|8|3|14
11|8|7|4|15
12|9|7|5|16
13|10|8|3|17
14|4|9|4|18
15|4|10|5|19
16|5|11|6|4
17|6|7|7|5
18|7|7|8|6
19|8|8|9|4
20|9|9|3|5
21|10|10|3|6
22|11|7|4|7
23|12|8|3|8
24|13|9|3|9
4|14|10|4|10
5|15|11|3|11
6|16|12|3|12
7|17|7|4|13
4|18|8|5|14
4|19|9|6|15
5|4|10|7|16
6|5|11|3|17
7|6|12|3|18
4|7|13|4|19
5|4|14|5|20
6|4|15|6|21
7|5|16|7|4
4|6|17|8|5
4|7|18|9|6
5|4|19|10|7
6|5|20|3|8
7|6|21|3|9
4|7|22|4|10
5|4|23|5|11
6|4|24|6|12
7|5|25|3|13
8|6|7|4|14
9|7|7|5|15
10|4|8|6|16
11|5|9|3|17
12|6|10|3|18
13|4|11|4|19
4|5|12|5|20
